U+2A823	𪠣	cy
U+2A824	𪠤	dy
U+2A825	𪠥	yy
U+2A826	𪠦	cy
U+2A827	𪠧	xy
U+2A828	𪠨	jy
U+2A829	𪠩	sy
U+2A82A	𪠪	yy
U+2A82B	𪠫	gf
U+2A82C	𪠬	xy
U+2A82D	𪠭	fz
U+2A82E	𪠮	ry
U+2A82F	𪠯	qy
U+2A830	𪠰	zd
U+2A831	𪠱	qj
U+2A832	𪠲	ky
U+2A833	𪠳	kc
U+2A834	𪠴	kr
U+2A835	𪠵	kl
U+2A836	𪠶	kt
U+2A837	𪠷	sk
U+2A838	𪠸	kl
U+2A839	𪠹	df
U+2A83A	𪠺	kz
U+2A83B	𪠻	kl
U+2A83C	𪠼	kr
U+2A83D	𪠽	kd
U+2A83E	𪠾	kz
U+2A83F	𪠿	kz
U+2A840	𪡀	kq
U+2A841	𪡁	kc
U+2A842	𪡂	km
U+2A843	𪡃	km
U+2A844	𪡄	kx
U+2A845	𪡅	wk
U+2A846	𪡆	kj
U+2A847	𪡇	kn
U+2A848	𪡈	kb
U+2A849	𪡉	lg
U+2A84A	𪡊	kz
U+2A84B	𪡋	kq
U+2A84C	𪡌	ck
U+2A84D	𪡍	lg
U+2A84E	𪡎	ll
U+2A84F	𪡏	kl
U+2A850	𪡐	yh
U+2A851	𪡑	kr
U+2A852	𪡒	kx
U+2A853	𪡓	kk
U+2A854	𪡔	kc
U+2A855	𪡕	ww
U+2A856	𪡖	sy
U+2A857	𪡗	kx
U+2A858	𪡘	yj
U+2A859	𪡙	kj
U+2A85A	𪡚	ks
U+2A85B	𪡛	kk
U+2A85C	𪡜	gd
U+2A85D	𪡝	kx
U+2A85E	𪡞	kg
U+2A85F	𪡟	kj
U+2A860	𪡠	kq
U+2A861	𪡡	ky
U+2A862	𪡢	kc
U+2A863	𪡣	ky
U+2A864	𪡤	pk
U+2A865	𪡥	kh
U+2A866	𪡦	kl
U+2A867	𪡧	kq
U+2A868	𪡨	ks
U+2A869	𪡩	kt
U+2A86A	𪡪	ck
U+2A86B	𪡫	ky
U+2A86C	𪡬	bg
U+2A86D	𪡭	kp
U+2A86E	𪡮	kc
U+2A86F	𪡯	ym
U+2A870	𪡰	kj
U+2A871	𪡱	kh
U+2A872	𪡲	kt
U+2A873	𪡳	pt
U+2A874	𪡴	kj
U+2A875	𪡵	kj
U+2A876	𪡶	ky
U+2A877	𪡷	kc
U+2A878	𪡸	kj
U+2A879	𪡹	qk
U+2A87A	𪡺	kl
U+2A87B	𪡻	cg
U+2A87C	𪡼	kd
U+2A87D	𪡽	kj
U+2A87E	𪡾	ks
U+2A87F	𪡿	kj
U+2A880	𪢀	kw
U+2A881	𪢁	kb
U+2A882	𪢂	kz
